Date,cases
2013/1/1,78
2013/2/1,78
2013/3/1,82
2013/4/1,70
2013/5/1,104
2013/6/1,61
2013/7/1,60
2013/8/1,39
2013/9/1,63
2013/10/1,58
2013/11/1,45
2013/12/1,75
2014/1/1,214
2014/2/1,100
2014/3/1,84
2014/4/1,72
2014/5/1,63
2014/6/1,85
2014/7/1,147
2014/8/1,119
2014/9/1,71
2014/10/1,29
2014/11/1,31
2014/12/1,47
2015/1/1,155
2015/2/1,94
2015/3/1,85
2015/4/1,83
2015/5/1,62
2015/6/1,136
2015/7/1,177
2015/8/1,76
2015/9/1,52
2015/10/1,63
2015/11/1,42
2015/12/1,30
2016/1/1,47
2016/2/1,82
2016/3/1,163
2016/4/1,113
2016/5/1,64
2016/6/1,38
2016/7/1,61
2016/8/1,23
2016/9/1,25
2016/10/1,19
2016/11/1,103
2016/12/1,121
2017/1/1,86
2017/2/1,46
2017/3/1,52
2017/4/1,51
2017/5/1,24
2017/6/1,52
2017/7/1,87
2017/8/1,82
2017/9/1,59
2017/10/1,39
2017/11/1,19
2017/12/1,132
2018/1/1,421
2018/2/1,191
2018/3/1,169
2018/4/1,61
2018/5/1,49
2018/6/1,32
2018/7/1,28
2018/8/1,36
2018/9/1,37
2018/10/1,36
2018/11/1,130
2018/12/1,404
2019/1/1,892
2019/2/1,259
2019/3/1,279
2019/4/1,165
2019/5/1,181
2019/6/1,152
2019/7/1,164
2019/8/1,156
2019/9/1,102
2019/10/1,98
2019/11/1,137
2019/12/1,931
2020/1/1,725
2020/2/1,156
2020/3/1,71
2020/4/1,64
2020/5/1,54
2020/6/1,70
2020/7/1,67
2020/8/1,33
2020/9/1,53
2020/10/1,60
2020/11/1,94
2020/12/1,75
2021/1/1,57
2021/2/1,27
2021/3/1,38
2021/4/1,103
2021/5/1,98
2021/6/1,98
2021/7/1,70
2021/8/1,57
2021/9/1,79
2021/10/1,40
2021/11/1,97
2021/12/1,285
2022/1/1,303
2022/2/1,118
2022/3/1,121
2022/4/1,65
2022/5/1,73
2022/6/1,2440
2022/7/1,749
2022/8/1,74
2022/9/1,63
2022/10/1,30
2022/11/1,47
2022/12/1,73
